Position,Team,Pl,W,D,L,F,A,GD,Pts,Season
1,Bayern Munich,34,24,6,4,99,44,55,78,20_21
2,RB Leipzig,34,19,8,7,60,32,28,65,20_21
3,Borussia Dortmund,34,20,4,10,75,46,29,64,20_21
4,Wolfsburg,34,17,10,7,61,37,24,61,20_21
5,Eintracht Frankfurt,34,16,12,6,69,53,16,60,20_21
6,Bayer Leverkusen,34,14,10,10,53,39,14,52,20_21
7,1. FC Union Berlin,34,12,14,8,50,43,7,50,20_21
8,M'gladbach,34,13,10,11,64,56,8,49,20_21
9,Stuttgart,34,12,9,13,56,55,1,45,20_21
10,SC Freiburg,34,12,9,13,52,52,0,45,20_21
11,Hoffenheim,34,11,10,13,52,54,-2,43,20_21
12,Mainz,34,10,9,15,39,56,-17,39,20_21
13,FC Augsburg,34,10,6,18,36,54,-18,36,20_21
14,Hertha Berlin,34,8,11,15,41,52,-11,35,20_21
15,Arminia Bielefeld,34,9,8,17,26,52,-26,35,20_21
16,Cologne,34,8,9,17,34,60,-26,33,20_21
17,Werder Bremen,34,7,10,17,36,57,-21,31,20_21
18,Schalke,34,3,7,24,25,86,-61,16,20_21
1,Bayern Munich,34,26,4,4,100,32,68,82,19_20
2,Borussia Dortmund,34,21,6,7,84,41,43,69,19_20
3,RB Leipzig,34,18,12,4,81,37,44,66,19_20
4,M'gladbach,34,20,5,9,66,40,26,65,19_20
5,Bayer Leverkusen,34,19,6,9,61,44,17,63,19_20
6,Hoffenheim,34,15,7,12,53,53,0,52,19_20
7,Wolfsburg,34,13,10,11,48,46,2,49,19_20
8,SC Freiburg,34,13,9,12,48,47,1,48,19_20
9,Eintracht Frankfurt,34,13,6,15,59,60,-1,45,19_20
10,Hertha Berlin,34,11,8,15,48,59,-11,41,19_20
11,1. FC Union Berlin,34,12,5,17,41,58,-17,41,19_20
12,Schalke,34,9,12,13,38,58,-20,39,19_20
13,Mainz,34,11,4,19,44,65,-21,37,19_20
14,Cologne,34,10,6,18,51,69,-18,36,19_20
15,FC Augsburg,34,9,9,16,45,63,-18,36,19_20
16,Werder Bremen,34,8,7,19,42,69,-27,31,19_20
17,Fortuna Dusseldorf,34,6,12,16,36,67,-31,30,19_20
18,SC Paderborn 07,34,4,8,22,37,74,-37,20,19_20
1,Bayern Munich,34,24,6,4,88,32,56,78,18_19
2,Borussia Dortmund,34,23,7,4,81,44,37,76,18_19
3,RB Leipzig,34,19,9,6,63,29,34,66,18_19
4,Bayer Leverkusen,34,18,4,12,69,52,17,58,18_19
5,M'gladbach,34,16,7,11,55,42,13,55,18_19
6,Wolfsburg,34,16,7,11,62,50,12,55,18_19
7,Eintracht Frankfurt,34,15,9,10,60,48,12,54,18_19
8,Werder Bremen,34,14,11,9,58,49,9,53,18_19
9,Hoffenheim,34,13,12,9,70,52,18,51,18_19
10,Fortuna Dusseldorf,34,13,5,16,49,65,-16,44,18_19
11,Hertha Berlin,34,11,10,13,49,57,-8,43,18_19
12,Mainz,34,12,7,15,46,57,-11,43,18_19
13,SC Freiburg,34,8,12,14,46,61,-15,36,18_19
14,Schalke,34,8,9,17,37,55,-18,33,18_19
15,FC Augsburg,34,8,8,18,51,71,-20,32,18_19
16,Stuttgart,34,7,7,20,32,70,-38,28,18_19
17,Hannover 96,34,5,6,23,31,71,-40,21,18_19
18,FC Nurnberg,34,3,10,21,26,68,-42,19,18_19
1,Bayern Munich,34,27,3,4,92,28,64,84,17_18
2,Schalke,34,18,9,7,53,37,16,63,17_18
3,Hoffenheim,34,15,10,9,66,48,18,55,17_18
4,Borussia Dortmund,34,15,10,9,64,47,17,55,17_18
