Position,Team,Pl,W,D,L,F,A,GD,Pts,Season
1,Ajax,34,28,4,2,102,23,79,88,20_21
2,PSV Eindhoven,34,21,9,4,74,35,39,72,20_21
3,AZ Alkmaar,34,21,8,5,75,41,34,71,20_21
4,Vitesse Arnhem,34,18,7,9,52,38,14,61,20_21
5,Feyenoord,34,16,11,7,64,36,28,59,20_21
6,FC Utrecht,34,13,14,7,52,41,11,53,20_21
7,Groningen,34,14,8,12,40,37,3,50,20_21
8,Sparta Rotterdam,34,13,8,13,49,48,1,47,20_21
9,Heracles Almelo,34,12,8,14,42,53,-11,44,20_21
10,FC Twente,34,10,11,13,48,50,-2,41,20_21
11,Fortuna Sittard,34,12,5,17,50,58,-8,41,20_21
12,Heerenveen,34,9,12,13,43,49,-6,39,20_21
13,PEC Zwolle,34,9,11,14,44,53,-9,38,20_21
14,Willem II,34,8,7,19,40,68,-28,31,20_21
15,RKC Waalwijk,34,7,9,18,33,55,-22,30,20_21
16,Emmen,34,7,9,18,40,68,-28,30,20_21
17,VVV-Venlo,34,6,5,23,43,91,-48,23,20_21
18,ADO Den Haag,34,4,10,20,29,76,-47,22,20_21
1,Ajax,25,18,2,5,68,23,45,56,19_20
2,AZ Alkmaar,25,18,2,5,54,17,37,56,19_20
3,Feyenoord,25,14,8,3,50,35,15,50,19_20
4,PSV Eindhoven,26,14,7,5,54,28,26,49,19_20
5,Willem II,26,13,5,8,37,34,3,44,19_20
6,FC Utrecht,25,12,5,8,50,34,16,41,19_20
7,Vitesse Arnhem,26,12,5,9,45,35,10,41,19_20
8,Heracles Almelo,26,10,6,10,40,34,6,36,19_20
9,Groningen,26,10,5,11,27,26,1,35,19_20
10,Heerenveen,26,8,9,9,41,41,0,33,19_20
11,Sparta Rotterdam,26,9,6,11,41,45,-4,33,19_20
12,Emmen,26,9,5,12,32,45,-13,32,19_20
13,VVV-Venlo,26,8,4,14,24,51,-27,28,19_20
14,FC Twente,26,7,6,13,34,46,-12,27,19_20
15,PEC Zwolle,26,7,5,14,37,55,-18,26,19_20
16,Fortuna Sittard,26,6,8,12,29,52,-23,26,19_20
17,ADO Den Haag,26,4,7,15,25,54,-29,19,19_20
18,RKC Waalwijk,26,4,3,19,27,60,-33,15,19_20
1,Ajax,34,28,2,4,119,32,87,86,18_19
2,PSV Eindhoven,34,26,5,3,98,26,72,83,18_19
3,Feyenoord,34,20,5,9,75,41,34,65,18_19
4,AZ Alkmaar,34,17,7,10,64,43,21,58,18_19
5,Vitesse Arnhem,34,14,11,9,70,51,19,53,18_19
6,FC Utrecht,34,15,8,11,60,51,9,53,18_19
7,Heracles Almelo,34,15,3,16,61,68,-7,48,18_19
8,Groningen,34,13,6,15,39,41,-2,45,18_19
9,ADO Den Haag,34,12,9,13,58,63,-5,45,18_19
10,Willem II,34,13,5,16,58,72,-14,44,18_19
11,Heerenveen,34,10,11,13,64,73,-9,41,18_19
12,VVV-Venlo,34,11,8,15,47,63,-16,41,18_19
13,PEC Zwolle,34,11,6,17,44,57,-13,39,18_19
14,Emmen,34,10,8,16,41,72,-31,38,18_19
15,Fortuna Sittard,34,9,7,18,50,80,-30,34,18_19
16,Excelsior,34,9,6,19,46,79,-33,33,18_19
17,Da Graafschap,34,8,5,21,38,75,-37,29,18_19
18,NAC Breda,34,5,8,21,29,74,-45,23,18_19
1,PSV Eindhoven,34,26,5,3,87,39,48,83,17_18
2,Ajax,34,25,4,5,89,33,56,79,17_18
3,AZ Alkmaar,34,22,5,7,72,38,34,71,17_18
4,Feyenoord,34,20,6,8,76,39,37,66,17_18
5,FC Utrecht,34,14,12,8,58,53,5,54,17_18
6,Vitesse Arnhem,34,13,10,11,63,47,16,49,17_18
7,ADO Den Haag,34,13,8,13,45,53,-8,47,17_18
8,Heerenveen,34,12,10,12,48,53,-5,46,17_18
9,PEC Zwolle,34,12,8,14,42,54,-12,44,17_18
10,Heracles Almelo,34,11,9,14,50,64,-14,42,17_18
11,Excelsior,34,11,7,16,41,56,-15,40,17_18
12,Groningen,34,8,14,12,50,50,0,38,17_18
13,Willem II,34,10,7,17,50,63,-13,37,17_18
14,NAC Breda,34,9,7,18,41,57,-16,34,17_18
15,VVV-Venlo,34,7,13,14,35,54,-19,34,17_18
16,Roda JC Kerk,34,8,6,20,42,69,-27,30,17_18
17,Sparta Rotterdam,34,7,6,21,34,75,-41,27,17_18
18,FC Twente,34,5,9,20,37,63,-26,24,17_18
1,Feyenoord,34,26,4,4,86,25,61,82,16_17
2,Ajax,34,25,6,3,79,23,56,81,16_17
3,PSV Eindhoven,34,22,10,2,68,23,45,76,16_17
4,FC Utrecht,34,18,8,8,54,38,16,62,16_17
5,Vitesse Arnhem,34,15,6,13,51,40,11,51,16_17
6,AZ Alkmaar,34,12,13,9,56,52,4,49,16_17
7,FC Twente,34,12,9,13,48,50,-2,45,16_17
8,Groningen,34,10,13,11,55,51,4,43,16_17
9,Heerenveen,34,12,7,15,54,53,1,43,16_17
10,Heracles Almelo,34,12,7,15,53,55,-2,43,16_17
11,ADO Den Haag,34,11,5,18,37,59,-22,38,16_17
12,Excelsior,34,9,10,15,43,60,-17,37,16_17
13,Willem II,34,9,9,16,29,44,-15,36,16_17
14,PEC Zwolle,34,9,8,17,39,67,-28,35,16_17
15,Sparta Rotterdam,34,9,7,18,42,61,-19,34,16_17
16,NEC Nijmegan,34,9,7,18,32,59,-27,34,16_17
17,Roda JC Kerk,34,7,12,15,26,51,-25,33,16_17
18,Go Ahead Eagles,34,6,5,23,32,73,-41,23,16_17
1,PSV Eindhoven,34,26,6,2,88,32,56,84,15_16
2,Ajax,34,25,7,2,81,21,60,82,15_16
3,Feyenoord,34,19,6,9,62,40,22,63,15_16
4,AZ Alkmaar,34,18,5,11,70,53,17,59,15_16
5,FC Utrecht,34,15,8,11,57,48,9,53,15_16
6,Heracles Almelo,34,14,9,11,47,49,-2,51,15_16
7,Groningen,34,14,8,12,41,48,-7,50,15_16
8,PEC Zwolle,34,14,6,14,56,54,2,48,15_16
9,Vitesse Arnhem,34,12,10,12,55,38,17,46,15_16
10,NEC Nijmegan,34,13,7,14,37,42,-5,46,15_16
11,ADO Den Haag,34,10,13,11,48,49,-1,43,15_16
12,Heerenveen,34,11,9,14,46,61,-15,42,15_16
13,FC Twente *,34,12,7,15,49,64,-15,40,15_16
14,Roda JC Kerk,34,8,10,16,34,55,-21,34,15_16
15,Excelsior,34,7,9,18,34,60,-26,30,15_16
16,Willem II,34,6,11,17,35,53,-18,29,15_16
17,Da Graafschap,34,5,8,21,39,66,-27,23,15_16
18,Cambuur Leeuwarden,34,3,9,22,33,79,-46,18,15_16
1,PSV Eindhoven,34,29,1,4,92,31,61,88,14_15
2,Ajax,34,21,8,5,69,29,40,71,14_15
