Position,Team,Pl,W,D,L,F,A,GD,Pts,Season
1,Atletico Madrid,38,26,8,4,67,25,42,86,20_21
2,Real Madrid,38,25,9,4,67,28,39,84,20_21
3,Barcelona,38,24,7,7,85,38,47,79,20_21
4,Sevilla,38,24,5,9,53,33,20,77,20_21
5,Real Sociedad,38,17,11,10,59,38,21,62,20_21
6,Real Betis,38,17,10,11,50,50,0,61,20_21
7,Villarreal,38,15,13,10,60,44,16,58,20_21
8,Celta Vigo,38,14,11,13,55,57,-2,53,20_21
9,Granada,38,13,7,18,47,65,-18,46,20_21
10,Athletic Bilbao,38,11,13,14,46,42,4,46,20_21
11,Osasuna,38,11,11,16,37,48,-11,44,20_21
12,Cadiz,38,11,11,16,36,58,-22,44,20_21
13,Valencia,38,10,13,15,50,53,-3,43,20_21
14,Levante,38,9,14,15,46,57,-11,41,20_21
15,Getafe,38,9,11,18,28,43,-15,38,20_21
16,Alaves,38,9,11,18,36,57,-21,38,20_21
17,Elche,38,8,12,18,34,55,-21,36,20_21
18,SD Huesca,38,7,13,18,34,53,-19,34,20_21
19,Real Valladolid,38,5,16,17,34,57,-23,31,20_21
20,Eibar,38,6,12,20,29,52,-23,30,20_21
1,Real Madrid,38,26,9,3,70,25,45,87,19_20
2,Barcelona,38,25,7,6,86,38,48,82,19_20
3,Atletico Madrid,38,18,16,4,51,27,24,70,19_20
4,Sevilla,38,19,13,6,54,34,20,70,19_20
5,Villarreal,38,18,6,14,63,49,14,60,19_20
6,Real Sociedad,38,16,8,14,56,48,8,56,19_20
7,Granada,38,16,8,14,52,45,7,56,19_20
8,Getafe,38,14,12,12,43,37,6,54,19_20
9,Valencia,38,14,11,13,46,53,-7,53,19_20
10,Osasuna,38,13,13,12,46,54,-8,52,19_20
11,Athletic Bilbao,38,13,12,13,41,38,3,51,19_20
12,Levante,38,14,7,17,47,53,-6,49,19_20
13,,38,9,15,14,32,43,-11,42,19_20
14,,38,11,9,18,39,56,-17,42,19_20
15,Real Betis,38,10,11,17,48,60,-12,41,19_20
16,Alaves,38,10,9,19,34,59,-25,39,19_20
17,Celta Vigo,38,7,16,15,37,49,-12,37,19_20
18,,38,8,12,18,30,51,-21,36,19_20
19,Real Mallorca,38,9,6,23,40,65,-25,33,19_20
20,Espanyol,38,5,10,23,27,58,-31,25,19_20
1,Barcelona,38,26,9,3,90,36,54,87,18_19
2,Atletico Madrid,38,22,10,6,55,29,26,76,18_19
3,Real Madrid,38,21,5,12,63,46,17,68,18_19
4,Valencia,38,15,16,7,51,35,16,61,18_19
5,Getafe,38,15,14,9,48,35,13,59,18_19
6,Sevilla,38,17,8,13,62,47,15,59,18_19
7,Espanyol,38,14,11,13,48,50,-2,53,18_19
8,Athletic Bilbao,38,13,14,11,41,45,-4,53,18_19
9,Real Sociedad,38,13,11,14,45,46,-1,50,18_19
10,Real Betis,38,14,8,16,44,52,-8,50,18_19
11,Alaves,38,13,11,14,39,50,-11,50,18_19
12,Eibar,38,11,14,13,46,50,-4,47,18_19
13,Leganes,38,11,12,15,37,43,-6,45,18_19
14,Villarreal,38,10,14,14,49,52,-3,44,18_19
15,Levante,38,11,11,16,59,66,-7,44,18_19
