Position,Team,Pl,W,D,L,F,A,GD,Pts,Season
1,Lille,38,24,11,3,64,23,41,83,20_21
2,Paris Saint-Germain,38,26,4,8,86,28,58,82,20_21
3,Monaco,38,24,6,8,76,42,34,78,20_21
4,Lyon,38,22,10,6,81,43,38,76,20_21
5,Marseille,38,16,12,10,54,47,7,60,20_21
6,Rennes,38,16,10,12,52,40,12,58,20_21
7,RC Lens,38,15,12,11,55,54,1,57,20_21
8,Montpellier,38,14,12,12,60,62,-2,54,20_21
9,Nice,38,15,7,16,50,53,-3,52,20_21
10,Metz,38,12,11,15,44,48,-4,47,20_21
11,St Etienne,38,12,10,16,42,54,-12,46,20_21
12,Bordeaux,38,13,6,19,42,56,-14,45,20_21
13,Angers,38,12,8,18,40,58,-18,44,20_21
14,Reims,38,9,15,14,42,50,-8,42,20_21
15,Strasbourg,38,11,9,18,49,58,-9,42,20_21
16,Lorient,38,11,9,18,50,68,-18,42,20_21
17,Brest,38,11,8,19,50,66,-16,41,20_21
18,Nantes,38,9,13,16,47,55,-8,40,20_21
19,Nimes,38,9,8,21,40,71,-31,35,20_21
20,Dijon,38,4,9,25,25,73,-48,21,20_21
1,Paris Saint-Germain,27,22,2,3,75,24,51,68,19_20
2,Marseille,28,16,8,4,41,29,12,56,19_20
3,Rennes,28,15,5,8,38,24,14,50,19_20
4,Lille,28,15,4,9,35,27,8,49,19_20
5,Nice,28,11,8,9,41,38,3,41,19_20
6,Reims,28,10,11,7,26,21,5,41,19_20
7,Lyon,28,11,7,10,42,27,15,40,19_20
8,Montpellier,28,11,7,10,35,34,1,40,19_20
9,Monaco,28,11,7,10,44,44,0,40,19_20
10,Strasbourg,27,11,5,11,32,32,0,38,19_20
11,Angers,28,11,6,11,28,33,-5,39,19_20
12,Bordeaux,28,9,10,9,40,34,6,37,19_20
13,Nantes,28,11,4,13,28,31,-3,37,19_20
14,Brest,28,8,10,10,34,37,-3,34,19_20
15,Metz,28,8,10,10,27,35,-8,34,19_20
16,Dijon,28,7,9,12,27,37,-10,30,19_20
17,St Etienne,28,8,6,14,29,45,-16,30,19_20
18,Nimes,28,7,6,15,29,44,-15,27,19_20
19,Amiens,28,4,11,13,31,50,-19,23,19_20
20,Toulouse,28,3,4,21,22,58,-36,13,19_20
1,Paris Saint-Germain,38,29,4,5,105,35,70,91,18_19
2,Lille,38,22,9,7,68,33,35,75,18_19
3,Lyon,38,21,9,8,70,47,23,72,18_19
4,St Etienne,38,19,9,10,59,41,18,66,18_19
5,Marseille,38,18,7,13,60,52,8,61,18_19
6,Montpellier,38,15,14,9,53,42,11,59,18_19
7,Nice,38,15,11,12,30,35,-5,56,18_19
8,Reims,38,13,16,9,39,42,-3,55,18_19
9,Nimes,38,15,8,15,57,58,-1,53,18_19
10,Rennes,38,13,13,12,55,52,3,52,18_19
11,Strasbourg,38,11,16,11,58,48,10,49,18_19
12,Nantes,38,13,9,16,48,48,0,48,18_19
13,Angers,38,10,16,12,44,49,-5,46,18_19
14,Bordeaux,38,10,11,17,34,42,-8,41,18_19
15,Amiens,38,9,11,18,31,52,-21,38,18_19
16,Toulouse,38,8,14,16,35,57,-22,38,18_19
17,Monaco,38,8,12,18,38,57,-19,36,18_19
18,Dijon,38,9,7,22,31,60,-29,34,18_19
19,Caen,38,7,12,19,29,54,-25,33,18_19
20,Guingamp,38,5,12,21,28,68,-40,27,18_19
1,Paris Saint-Germain,38,29,6,3,108,29,79,93,17_18
2,Monaco,38,24,8,6,85,45,40,80,17_18
3,Lyon,38,23,9,6,87,43,44,78,17_18
4,Marseille,38,22,11,5,80,47,33,77,17_18
5,Rennes,38,16,10,12,50,44,6,58,17_18
6,Bordeaux,38,16,7,15,53,48,5,55,17_18
7,St Etienne,38,15,10,13,47,50,-3,55,17_18
8,Nice,38,15,9,14,53,52,1,54,17_18
9,Nantes,38,14,10,14,36,41,-5,52,17_18
10,Montpellier,38,11,18,9,36,33,3,51,17_18
11,Dijon,38,13,9,16,55,73,-18,48,17_18
12,Guingamp,38,12,11,15,48,59,-11,47,17_18
13,Amiens,38,12,9,17,37,42,-5,45,17_18
14,Angers,38,9,14,15,42,52,-10,41,17_18
15,Strasbourg,38,9,11,18,44,67,-23,38,17_18
16,Caen,38,10,8,20,27,52,-25,38,17_18
17,Lille,38,10,8,20,41,67,-26,38,17_18
18,Toulouse,38,9,10,19,38,54,-16,37,17_18
19,Troyes,38,9,6,23,32,59,-27,33,17_18
20,Metz,38,6,8,24,34,76,-42,26,17_18
1,Monaco,38,30,5,3,107,31,76,95,16_17
2,Paris Saint-Germain,38,27,6,5,83,27,56,87,16_17
3,Nice,38,22,12,4,63,36,27,78,16_17
4,Lyon,38,21,4,13,77,48,29,67,16_17
5,Marseille,38,17,11,10,57,41,16,62,16_17
6,Bordeaux,38,15,14,9,53,43,10,59,16_17
7,Nantes,38,14,9,15,40,54,-14,51,16_17
8,St Etienne,38,12,14,12,41,42,-1,50,16_17
9,Rennes,38,12,14,12,36,42,-6,50,16_17
10,Guingamp,38,14,8,16,46,53,-7,50,16_17
11,Lille,38,13,7,18,40,47,-7,46,16_17
12,Angers,38,13,7,18,40,49,-9,46,16_17
13,Toulouse,38,10,14,14,37,41,-4,44,16_17
14,Metz,38,11,10,17,39,72,-33,43,16_17
15,Montpellier,38,10,9,19,48,66,-18,39,16_17
16,Dijon,38,8,13,17,46,58,-12,37,16_17
17,Caen,38,10,7,21,36,65,-29,37,16_17
18,Lorient,38,10,6,22,44,70,-26,36,16_17
19,Nancy,38,9,8,21,29,52,-23,35,16_17
20,Bastia,38,8,10,20,29,54,-25,34,16_17
1,Paris Saint-Germain,38,30,6,2,102,19,83,96,15_16
2,Lyon,38,19,8,11,67,43,24,65,15_16
3,Monaco,38,17,14,7,57,50,7,65,15_16
4,Nice,38,18,9,11,58,41,17,63,15_16
5,Lille,38,15,15,8,39,27,12,60,15_16
6,St Etienne,38,17,7,14,42,37,5,58,15_16
7,Caen,38,16,6,16,39,52,-13,54,15_16
8,Rennes,38,13,13,12,52,54,-2,52,15_16
9,Angers,38,13,11,14,40,38,2,50,15_16
10,Bastia,38,14,8,16,36,42,-6,50,15_16
11,Bordeaux,38,12,14,12,50,57,-7,50,15_16
12,Montpellier,38,14,7,17,49,47,2,49,15_16
13,Marseille,38,10,18,10,48,42,6,48,15_16
14,Nantes,38,12,12,14,33,44,-11,48,15_16
15,Lorient,38,11,13,14,47,58,-11,46,15_16
16,Guingamp,38,11,11,16,47,56,-9,44,15_16
17,Toulouse,38,9,13,16,45,55,-10,40,15_16
18,Reims,38,10,9,19,44,57,-13,39,15_16
19,Gazelec Ajaccio,38,8,13,17,37,58,-21,37,15_16
20,Troyes,38,3,9,26,28,83,-55,18,15_16
1,Paris Saint-Germain,38,24,11,3,83,36,47,83,14_15
2,Lyon,38,22,9,7,72,33,39,75,14_15
3,Monaco,38,20,11,7,51,26,25,71,14_15
4,Marseille,38,21,6,11,76,42,34,69,14_15
5,St Etienne,38,19,12,7,51,30,21,69,14_15
6,Bordeaux,38,17,12,9,47,44,3,63,14_15
7,Montpellier,38,16,8,14,46,39,7,56,14_15
8,Lille,38,16,8,14,43,42,1,56,14_15
9,Rennes,38,13,11,14,35,42,-7,50,14_15
10,Guingamp,38,15,4,19,41,55,-14,49,14_15
11,Nice,38,13,9,16,44,53,-9,48,14_15
12,Bastia,38,12,11,15,37,46,-9,47,14_15
13,Caen,38,12,10,16,54,55,-1,46,14_15
14,Nantes,38,11,12,15,29,40,-11,45,14_15
15,Reims,38,12,8,18,47,66,-19,44,14_15
16,Lorient,38,12,7,19,44,50,-6,43,14_15
17,Toulouse,38,12,6,20,43,64,-21,42,14_15
18,Evian Thonon Gaillar,38,11,4,23,41,62,-21,37,14_15
19,Metz,38,7,9,22,31,61,-30,30,14_15
20,RC Lens,38,7,8,23,32,61,-29,29,14_15
1,Paris Saint-Germain,38,27,8,3,84,23,61,89,13_14
2,Monaco,38,23,11,4,63,31,32,80,13_14
3,Lille,38,20,11,7,46,26,20,71,13_14
4,St Etienne,38,20,9,9,56,34,22,69,13_14
5,Lyon,38,17,10,11,56,44,12,61,13_14
6,Marseille,38,16,12,10,53,40,13,60,13_14
7,Bordeaux,38,13,14,11,49,43,6,53,13_14
8,Lorient,38,13,10,15,48,53,-5,49,13_14
9,Toulouse,38,12,13,13,46,53,-7,49,13_14
10,Bastia,38,12,11,15,42,56,-14,49,13_14
11,Reims,38,12,12,14,44,55,-11,48,13_14
12,Rennes,38,11,13,14,47,45,2,46,13_14
13,Nantes,38,12,11,15,38,43,-5,46,13_14
14,Evian Thonon Gaillar,38,11,11,16,39,51,-12,44,13_14
15,Montpellier,38,8,18,12,45,53,-8,42,13_14
16,Guingamp,38,11,9,18,34,42,-8,42,13_14
17,Nice,38,12,6,20,30,45,-15,42,13_14
18,Sochaux,38,10,10,18,37,61,-24,40,13_14
19,Valenciennes,38,7,8,23,37,65,-28,29,13_14
20,AC Ajaccio,38,4,11,23,37,72,-35,23,13_14
1,Paris Saint-Germain,38,25,8,5,69,23,46,83,12_13
2,Marseille,38,21,8,9,42,36,6,71,12_13
3,Lyon,38,19,10,9,61,38,23,67,12_13
4,Nice,38,18,10,10,57,46,11,64,12_13
5,St Etienne,38,16,15,7,60,32,28,63,12_13
6,Lille,38,16,14,8,59,40,19,62,12_13
7,Bordeaux,38,13,16,9,40,34,6,55,12_13
8,Lorient,38,14,11,13,57,58,-1,53,12_13
9,Montpellier,38,15,7,16,54,51,3,52,12_13
10,Toulouse,38,13,12,13,49,47,2,51,12_13
11,Valenciennes,38,12,12,14,49,53,-4,48,12_13
12,Bastia,38,13,8,17,50,66,-16,47,12_13
13,Rennes,38,13,7,18,48,59,-11,46,12_13
14,Reims,38,10,13,15,33,42,-9,43,12_13
15,Sochaux,38,10,11,17,41,57,-16,41,12_13
16,Evian Thonon Gaillar,38,10,10,18,46,53,-7,40,12_13
17,AC Ajaccio,38,9,15,14,39,51,-12,40,12_13
18,Nancy,38,9,11,18,38,58,-20,38,12_13
19,Troyes,38,8,13,17,43,61,-18,37,12_13
20,Brest,38,8,5,25,32,62,-30,29,12_13
1,Montpellier,38,25,7,6,68,34,34,82,11_12
2,Paris Saint-Germain,38,23,10,5,75,41,34,79,11_12
3,Lille,38,21,11,6,72,39,33,74,11_12
4,Lyon,38,19,7,12,64,51,13,64,11_12
5,Bordeaux,38,16,13,9,53,41,12,61,11_12
6,Rennes,38,17,9,12,53,44,9,60,11_12
7,St Etienne,38,16,9,13,49,45,4,57,11_12
8,Toulouse,38,15,11,12,37,34,3,56,11_12
9,Evian Thonon Gaillar,38,13,11,14,54,55,-1,50,11_12
10,Marseille,38,12,12,14,45,41,4,48,11_12
11,Nancy,38,11,12,15,38,48,-10,45,11_12
12,Valenciennes,38,12,7,19,40,50,-10,43,11_12
13,Nice,38,10,12,16,39,46,-7,42,11_12
14,Sochaux,38,11,9,18,40,60,-20,42,11_12
15,Brest,38,8,17,13,31,38,-7,41,11_12
16,AC Ajaccio,38,9,14,15,40,61,-21,41,11_12
17,Lorient,38,9,12,17,35,49,-14,39,11_12
18,Caen,38,9,11,18,39,59,-20,38,11_12
19,Dijon,38,9,9,20,38,63,-25,36,11_12
20,Auxerre,38,7,13,18,46,57,-11,34,11_12
1,Lille,38,21,13,4,68,36,32,76,10_11
2,Marseille,38,18,14,6,62,39,23,68,10_11
3,Lyon,38,17,13,8,61,40,21,64,10_11
4,Paris Saint-Germain,38,15,15,8,56,41,15,60,10_11
5,Sochaux,38,17,7,14,60,43,17,58,10_11
6,Rennes,38,15,11,12,38,35,3,56,10_11
7,Bordeaux,38,12,15,11,43,42,1,51,10_11
8,Toulouse,38,14,8,16,38,36,2,50,10_11
9,Auxerre,38,10,19,9,45,41,4,49,10_11
10,St Etienne,38,12,13,13,46,47,-1,49,10_11
11,Lorient,38,12,13,13,46,48,-2,49,10_11
12,Valenciennes,38,10,18,10,45,41,4,48,10_11
13,Nancy,38,13,9,16,43,48,-5,48,10_11
14,Montpellier,38,12,11,15,32,43,-11,47,10_11
15,Caen,38,11,13,14,46,51,-5,46,10_11
16,Brest,38,11,13,14,36,43,-7,46,10_11
17,Nice,38,11,13,14,33,48,-15,46,10_11
18,Monaco,38,9,17,12,36,40,-4,44,10_11
19,RC Lens,38,7,14,17,35,58,-23,35,10_11
20,Arles,38,3,11,24,21,70,-49,20,10_11
