Position,Team,Pl,W,D,L,F,A,GD,Pts,Season
1,Inter Milan,38,28,7,3,89,35,54,91,20_21
2,AC Milan,38,24,7,7,74,41,33,79,20_21
3,Atalanta,38,23,9,6,90,47,43,78,20_21
4,Juventus,38,23,9,6,77,38,39,78,20_21
5,Napoli,38,24,5,9,86,41,45,77,20_21
6,Lazio,38,21,5,12,61,55,6,68,20_21
7,Roma,38,18,8,12,68,58,10,62,20_21
8,Sassuolo,38,17,11,10,64,56,8,62,20_21
9,Sampdoria,38,15,7,16,52,54,-2,52,20_21
10,Verona,38,11,12,15,46,48,-2,45,20_21
11,Genoa,38,10,12,16,47,58,-11,42,20_21
12,Bologna,38,10,11,17,51,65,-14,41,20_21
13,Fiorentina,38,9,13,16,47,59,-12,40,20_21
14,Udinese,38,10,10,18,42,58,-16,40,20_21
15,Spezia,38,9,12,17,52,72,-20,39,20_21
16,Cagliari,38,9,10,19,43,59,-16,37,20_21
17,Torino,38,7,16,15,50,69,-19,37,20_21
18,Benevento,38,7,12,19,40,75,-35,33,20_21
19,Crotone,38,6,5,27,45,92,-47,23,20_21
20,Parma,38,3,11,24,39,83,-44,20,20_21
1,Juventus,38,26,5,7,76,43,33,83,19_20
2,Inter Milan,38,24,10,4,81,36,45,82,19_20
3,Atalanta,38,23,9,6,98,48,50,78,19_20
4,Lazio,38,24,6,8,79,42,37,78,19_20
5,Roma,38,21,7,10,77,51,26,70,19_20
6,AC Milan,38,19,9,10,63,46,17,66,19_20
7,Napoli,38,18,8,12,61,50,11,62,19_20
8,Sassuolo,38,14,9,15,69,63,6,51,19_20
9,Verona,38,12,13,13,47,51,-4,49,19_20
10,Fiorentina,38,12,13,13,51,48,3,49,19_20
11,Parma,38,14,7,17,56,57,-1,49,19_20
12,Bologna,38,12,11,15,52,65,-13,47,19_20
13,Udinese,38,12,9,17,37,51,-14,45,19_20
14,Cagliari,38,11,12,15,52,56,-4,45,19_20
15,Sampdoria,38,12,6,20,48,65,-17,42,19_20
16,Torino,38,11,7,20,46,68,-22,40,19_20
17,Genoa,38,10,9,19,47,73,-26,39,19_20
